"행정구역","2023년10월_계_총인구수","2023년10월_계_연령구간인구수","2023년10월_계_0~9세","2023년10월_계_10~19세","2023년10월_계_20~29세","2023년10월_계_30~39세","2023년10월_계_40~49세","2023년10월_계_50~59세","2023년10월_계_60~69세","2023년10월_계_70~79세","2023년10월_계_80~89세","2023년10월_계_90~99세","2023년10월_계_100세 이상"
"서울특별시 동대문구 휘경제1동(1123072000)","13,742","13,742","678","781","3,684","2,090","1,622","1,874","1,508","942","494","67","2"
"서울특별시 동대문구 휘경제2동(1123073000)","24,320","24,320","966","1,916","5,904","3,025","3,167","3,528","3,008","1,844","858","101","3"
"서울특별시 동대문구 이문제1동(1123074000)","17,855","17,855","570","1,168","5,173","2,057","2,009","2,486","2,095","1,366","843","84","4"
"서울특별시 동대문구 이문제2동(1123075000)","19,453","19,453","1,003","1,591","2,689","2,320","2,779","3,318","2,881","1,874","902","95","1"
"서울특별시 중랑구 (1126000000)","382,390","382,390","19,293","24,062","50,357","57,630","53,456","64,553","63,304","33,077","14,765","1,834","59"
"서울특별시 중랑구 면목제2동(1126052000)","23,697","23,697","960","1,355","2,928","3,419","3,263","4,468","4,125","2,102","949","125","3"
"서울특별시 중랑구 면목제4동(1126054000)","18,231","18,231","868","1,105","2,227","2,470","2,684","3,187","2,972","1,877","762","76","3"
"서울특별시 중랑구 면목제5동(1126055000)","14,607","14,607","1,313","854","1,512","2,487","2,398","2,354","2,132","1,046","461","48","2"
"서울특별시 중랑구 면목본동(1126056500)","32,863","32,863","1,248","1,623","4,809","5,346","4,489","5,850","5,268","2,840","1,244","143","3"
"서울특별시 중랑구 면목제7동(1126057000)","21,222","21,222","1,030","1,066","2,731","3,261","2,863","3,608","3,707","2,026","819","109","2"
"서울특별시 중랑구 면목제3.8동(1126057500)","24,505","24,505","942","1,238","3,363","3,574","3,190","4,371","4,397","2,307","1,006","115","2"
"서울특별시 중랑구 상봉제1동(1126058000)","23,233","23,233","1,495","1,748","2,961","3,393","3,283","3,961","3,784","1,720","793","94","1"
"서울특별시 중랑구 상봉제2동(1126059000)","20,375","20,375","751","655","4,130","4,757","2,455","2,892","2,697","1,365","579","86","8"
"서울특별시 중랑구 중화제1동(1126060000)","18,811","18,811","932","1,174","2,347","2,998","2,598","2,998","3,249","1,738","709","66","2"
"서울특별시 중랑구 중화제2동(1126061000)","23,864","23,864","869","990","3,283","3,618","3,064","4,256","4,430","2,156","1,082","115","1"
"서울특별시 중랑구 묵제1동(1126062000)","33,748","33,748","1,768","2,927","4,721","4,552","5,172","5,477","4,963","2,788","1,239","137","4"
"서울특별시 중랑구 묵제2동(1126063000)","18,179","18,179","803","1,049","2,436","2,689","2,588","3,098","3,049","1,662","726","76","3"
"서울특별시 중랑구 망우본동(1126065500)","35,443","35,443","2,376","2,050","4,436","5,811","4,898","5,498","5,919","2,930","1,337","180","8"
"서울특별시 중랑구 망우제3동(1126066000)","15,763","15,763","570","886","2,021","1,977","1,986","3,028","2,979","1,524","674","116","2"
"서울특별시 중랑구 신내1동(1126068000)","38,032","38,032","2,359","3,855","4,289","4,565","5,707","6,189","6,195","3,145","1,496","225","7"
"서울특별시 중랑구 신내2동(1126069000)","19,817","19,817","1,009","1,487","2,163","2,713","2,818","3,318","3,438","1,851","889","123","8"
"서울특별시 성북구 (1129000000)","426,892","426,892","24,367","35,360","65,027","56,286","63,949","70,665","58,179","33,492","17,343","2,167","57"
"서울특별시 성북구 성북동(1129052500)","15,967","15,967","629","1,068","2,553","2,504","2,222","2,708","2,143","1,224","778","133","5"
"서울특별시 성북구 삼선동(1129055500)","22,221","22,221","806","1,691","4,178","3,084","3,016","3,793","2,838","1,702","1,001","106","6"
"서울특별시 성북구 동선동(1129057500)","15,043","15,043","417","868","4,668","2,401","1,784","1,899","1,452","932","549","71","2"
"서울특별시 성북구 돈암제1동(1129058000)","14,293","14,293","672","1,079","1,864","1,865","1,847","2,604","2,336","1,282","664","78","2"
"서울특별시 성북구 돈암제2동(1129059000)","23,449","23,449","1,651","2,623","2,708","2,727","3,912","4,331","2,976","1,547","819","152","3"
"서울특별시 성북구 안암동(1129060000)","14,985","14,985","367","759","5,512","2,032","1,414","1,916","1,485","901","525","72","2"
"서울특별시 성북구 보문동(1129061000)","16,219","16,219","972","992","2,685","2,812","2,310","2,661","2,040","1,132","544","69","2"
"서울특별시 성북구 정릉제1동(1129062000)","17,819","17,819","1,232","1,644","2,218","2,354","2,926","2,868","2,332","1,411","745","88","1"
"서울특별시 성북구 정릉제2동(1129063000)","22,592","22,592","1,254","1,610","3,049","2,982","3,192","3,829","3,511","2,003","1,044","117","1"
"서울특별시 성북구 정릉제3동(1129064000)","15,017","15,017","444","932","3,407","1,783","1,579","2,275","2,247","1,444","798","107","1"
"서울특별시 성북구 정릉제4동(1129065000)","24,136","24,136","1,222","1,986","3,075","2,892","3,619","4,208","3,677","2,207","1,107","139","4"
"서울특별시 성북구 길음제1동(1129066000)","34,856","34,856","2,969","4,984","3,412","3,735","7,273","5,763","3,447","2,090","1,063","117","3"
"서울특별시 성북구 길음제2동(1129068500)","21,755","21,755","2,037","2,034","2,507","2,878","3,874","3,683","2,642","1,416","597","85","2"
"서울특별시 성북구 종암동(1129070500)","37,794","37,794","2,106","3,440","5,486","4,581","5,851","6,292","5,167","2,918","1,680","266","7"
"서울특별시 성북구 월곡제1동(1129071500)","25,639","25,639","1,616","2,434","2,836","3,203","4,180","4,334","3,707","2,177","1,051","96","5"
"서울특별시 성북구 월곡제2동(1129072500)","18,981","18,981","810","1,371","3,500","2,566","2,516","2,951","2,716","1,606","834","109","2"
"서울특별시 성북구 장위제1동(1129076000)","23,440","23,440","1,488","1,744","3,044","3,170","3,539","4,098","3,616","1,808","836","95","2"
"서울특별시 성북구 장위제2동(1129077000)","13,208","13,208","496","788","1,778","1,788","1,658","2,270","2,263","1,408","679","78","2"
